City,Country,Max Temp,Current Descriptions,Lat,Lng,Hotel Name
Bandarbeyla,SO,81.23,broken clouds,9.49,50.81,REER XOOSHLE GROUP
Wuwei,CN,84.0,clear sky,37.93,102.64,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
Tautira,PF,80.6,scattered clouds,-17.73,-149.15,Pension Oaoa
Khatanga,RU,89.58,clear sky,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
Victoria,HK,89.01,overcast clouds,22.29,114.16,Mini Hotel Central
Fredericksburg,US,78.8,clear sky,38.3,-77.46,Courtyard by Marriott Fredericksburg Historic District
Cayenne,GF,75.2,broken clouds,4.93,-52.33,Hôtel Le Dronmi
Hamilton,US,75.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
Avarua,CK,75.2,clear sky,-21.21,-159.78,Paradise Inn
Pishin,PK,84.0,clear sky,30.58,67.0,Iqra Printing Press
Marsh Harbour,BS,82.24,scattered clouds,26.54,-77.06,Abaco Beach Resort
Balakhninskiy,RU,75.9,overcast clouds,58.01,114.28,
Butaritari,KI,83.41,broken clouds,3.07,172.79,Isles Sunset Lodge
Bousse,BF,77.0,overcast clouds,12.66,-1.89,Maison d'hôtes EBEN-EZER DE BOUSSE
Jambi,ID,84.42,few clouds,-1.6,103.62,Aston Jambi Hotel & Conference Center
Labuhan,ID,83.62,clear sky,-6.88,112.21,bador sepret
Oistins,BB,80.6,few clouds,13.07,-59.53,Butterfly Beach Hotel
Batticaloa,LK,85.01,overcast clouds,7.71,81.69,Grand Star Guest House
Norman Wells,CA,75.2,few clouds,65.28,-126.83,Heritage Hotel
Mopti,ML,87.8,overcast clouds,14.67,-4.0,
Sioux Lookout,CA,78.8,few clouds,50.1,-91.92,Knobby's Fly-In Camps
Talnakh,RU,78.58,scattered clouds,69.49,88.4,Talnakh Hotel
La Puebla Del Rio,ES,75.0,clear sky,37.27,-6.06,Hotel Gran Avenida
Kavieng,PG,85.59,clear sky,-2.57,150.8,Nusa Island Retreat
Puerto Escondido,MX,81.34,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
Vaitape,PF,76.87,overcast clouds,-16.52,-151.75,Hotel Maitai Polynesia
Kidal,ML,85.87,clear sky,18.44,1.41,
Meulaboh,ID,83.82,broken clouds,4.14,96.13,Kost Pria
Birao,CF,75.7,scattered clouds,10.28,22.79,
Bubaque,GW,80.96,clear sky,11.28,-15.83,Casa Dora
Bengkulu,ID,84.7,clear sky,-3.8,102.27,Grage Hotel Bengkulu
Alofi,NU,80.6,scattered clouds,-19.06,-169.92,Taloa Heights
Katsuura,JP,82.0,broken clouds,35.13,140.3,Katsuura Hilltop Hotel & Residence
Roura,GF,75.2,broken clouds,4.73,-52.33,Amazonie Découverte SARL
Oranjestad,AW,82.4,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
Shieli,KZ,75.88,clear sky,44.17,66.75,Gostinitsa Aybek Shieli
Estelle,US,84.0,broken clouds,29.85,-90.11,Comfort Inn Marrero - New Orleans West
Salalah,OM,84.2,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
Tall Kayf,TR,82.44,clear sky,37.08,41.07,
Hobyo,SO,78.06,clear sky,5.35,48.53,Osmani Hotel
Shizukuishi,JP,75.2,broken clouds,39.68,140.98,Hotel Taikan
Acapulco,MX,84.2,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
Longyan,CN,89.47,overcast clouds,25.11,117.02,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
Canovanas,PR,80.6,few clouds,18.38,-65.91,Motel Fantasy Star
San Antonio,US,84.2,broken clouds,29.42,-98.49,Marriott Plaza San Antonio
Avera,US,80.6,clear sky,33.19,-82.53,
Port Hedland,AU,84.2,clear sky,-20.32,118.57,The Esplanade Hotel
Bathsheba,BB,80.6,few clouds,13.22,-59.52,Atlantis Hotel
Sterling,US,78.01,broken clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
Manicore,BR,75.07,few clouds,-5.81,-61.3,Pousada da wanda
Waingapu,ID,83.53,scattered clouds,-9.66,120.26,Pondok Wisata Elim
Yuxia,CN,80.01,mist,34.06,108.63,Xinhua Hostel
Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
Mushie,CD,75.47,clear sky,-3.02,16.9,
Dudinka,RU,75.45,broken clouds,69.41,86.18,Hotel Viktoria
Cabra,ES,75.0,clear sky,37.47,-4.44,MS Fuente Las Piedras
Dalton,US,75.99,broken clouds,34.77,-84.97,Hampton Inn Dalton
Ananindeua,BR,77.0,broken clouds,-1.37,-48.37,Motel Pousada Athenas
Banda Aceh,ID,85.12,scattered clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
Grasse,FR,78.01,clear sky,43.67,6.92,LA BASTIDE SAINT ANTOINE
Tabou,CI,75.67,overcast clouds,4.42,-7.35,hotêl doufoulougou
Venice,US,84.2,clear sky,27.1,-82.45,A Beach Retreat
Tomatlan,MX,79.5,overcast clouds,19.93,-105.25,Norma franco
Puerto Madero,MX,77.0,broken clouds,14.72,-92.42,Hotel Perla del Pacífico
Tabanan,ID,78.8,broken clouds,-8.54,115.13,Puri Taman Sari Resort
Marzuq,YE,80.76,broken clouds,14.4,46.47,
Tanggu,CN,78.8,scattered clouds,39.02,117.65,Ibis Tianjin Tanggu Hotel
Maumere,ID,82.08,overcast clouds,-8.62,122.21,Sylvia Hotel
Solok,ID,85.68,broken clouds,-0.79,100.66,Mami Hotel & Restaurant
Amnat Charoen,TH,88.54,clear sky,15.86,104.63,โรงแรมระเมียรดาวบูติคเพลส
Makakilo City,US,86.0,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
Padang,ID,85.37,scattered clouds,-0.95,100.35,Mercure Padang
Tezu,IN,78.46,overcast clouds,27.92,96.17,Circuit House
Eyl,SO,81.0,few clouds,7.98,49.82,Amiin Hotel
Faanui,PF,76.05,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
Saint George,US,90.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
Keansburg,US,75.0,clear sky,40.44,-74.13,Holiday Inn Hazlet
Lebedinyy,RU,75.74,clear sky,58.52,125.52,
Katherine,AU,86.0,clear sky,-14.47,132.27,Pine Tree Motel
Erenhot,CN,75.04,overcast clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
Gua Musang,MY,86.56,broken clouds,4.88,101.96,Mines Inn Hotel
Dryden,CA,77.0,clear sky,49.78,-92.75,Holiday Inn Express Dryden
Springfield,US,81.0,clear sky,37.22,-93.3,Best Western Route 66 Rail Haven
Deming,US,82.4,clear sky,32.27,-107.76,Best Western Deming Southwest Inn
Ambulu,ID,82.44,scattered clouds,-8.35,113.61,Hotel Ambulu Jember
Atambua,ID,82.13,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
Sharjah,AE,89.6,haze,25.36,55.4,Swiss Belhotel Sharjah
Dingle,PH,85.55,overcast clouds,11.0,122.67,Camp Pasica
Hengshui,CN,84.63,few clouds,37.73,115.7,Eaka Hotel Hengshui Railway Station Branch
Honiara,SB,87.8,broken clouds,-9.43,159.95,Heritage Park Hotel
Sao Filipe,CV,75.45,clear sky,14.9,-24.5,Tortuga B&B
Mitsamiouli,KM,77.99,clear sky,-11.38,43.28,Foyer ADM
Rocky Mount,US,78.01,clear sky,35.94,-77.79,Days Inn & Suites by Wyndham Rocky Mount Golden East
Colon,PA,79.0,overcast clouds,9.36,-79.9,Sand Diamond Hotel
Oyama,JP,84.99,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
Road Town,VG,80.01,overcast clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
Sarangani,PH,81.66,overcast clouds,5.4,125.46,Ballistic Islet
San Pedro De Macoris,DO,78.01,broken clouds,18.46,-69.3,Apartahotel Guaraguao
Maragogi,BR,75.04,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
Matara,LK,84.13,few clouds,5.95,80.54,Amaloh Boutique Resort
Banjar,ID,78.8,broken clouds,-8.19,114.97,The Hamsa Resort
Ewo,CG,77.7,broken clouds,-0.87,14.82,Residence Elonda Ewo
Reforma,MX,81.21,few clouds,18.1,-91.02,
San Andres,CO,82.4,broken clouds,12.58,-81.7,Hotel Arena Blanca
Silver City,US,77.0,clear sky,32.77,-108.28,Copper Manor Motel
Lakatoro,VU,80.6,broken clouds,-16.1,167.42,Lakatoro Palm Lodge
Wahpeton,US,77.0,overcast clouds,46.27,-96.61,Select Inn Breckenridge
Umm Kaddadah,SD,87.1,overcast clouds,13.6,26.69,
Basco,PH,84.78,overcast clouds,20.45,121.97,Nathaniel's Lodge
Moratuwa,LK,83.91,scattered clouds,6.77,79.88,Sa Mansion By Yoho
Champerico,GT,79.18,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
Haldia,IN,87.93,overcast clouds,22.06,88.11,Prayag Balaji Hotel
Araouane,ML,89.74,clear sky,18.9,-3.53,
Quzhou,CN,86.81,overcast clouds,28.96,118.87,Quzhou Jiujiu Business Hotel
Shimoda,JP,80.6,scattered clouds,34.67,138.95,Shimoda Tokyu Hotel
Abu Dhabi,AE,88.0,few clouds,24.47,54.37,Beach Rotana
Nhulunbuy,AU,84.2,scattered clouds,-12.23,136.77,East Arnhem Real Estate
Milkovo,RU,76.33,clear sky,54.72,158.62,"Hotel ""Geologist"""
Lorengau,PG,86.38,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
West Bay,KY,84.0,clear sky,19.37,-81.42,Calypso Cove
Changying,CN,78.39,clear sky,52.87,123.32,
Keti Bandar,PK,87.89,overcast clouds,24.14,67.45,Haji laloo memon house
Davidson,US,77.0,scattered clouds,36.15,-86.78,Best Western Plus Music Row
Garowe,SO,78.15,few clouds,8.41,48.48,Curubo Hotel
Boa Vista,BR,78.8,broken clouds,2.82,-60.67,Aipana Plaza Hotel
Rincon,US,84.2,clear sky,32.3,-81.24,Bent tree subdivision
Yerbogachen,RU,80.47,clear sky,61.28,108.01,
Greenville,US,78.01,clear sky,35.61,-77.37,Holiday Inn Express Greenville
Boulder,US,75.2,clear sky,40.08,-105.35,Deck House Boulder
Ust-Ilimsk,RU,80.67,overcast clouds,58.0,102.66,Alenat Tsentr
Hinche,HT,80.6,scattered clouds,19.15,-72.02,«Petites Soeurs de l'Incarnation»
Jacmel,HT,80.6,broken clouds,18.23,-72.53,Hotel Florita
Lazaro Cardenas,MX,80.26,few clouds,17.96,-102.2,Hotel Quinta Antigua
Palitana,IN,89.06,clear sky,21.52,71.83,Sanderao Bhavan
Payo,ID,86.02,clear sky,-3.75,103.64,Mess keban agung
Pierre,US,81.0,clear sky,44.37,-100.35,Ramkota Hotel
Kailua,US,86.0,broken clouds,21.4,-157.74,Sheffield House Bed & Breakfast
Palauig,PH,85.93,overcast clouds,15.44,119.9,Myhousebythesea
Xianyang,CN,80.01,mist,34.34,108.7,铁路大厦
Umm Lajj,SA,82.83,few clouds,25.02,37.27,Moon light Furnished Units
Tadpatri,IN,85.66,overcast clouds,14.92,78.02,chukulur Turning
